"n","target_r2","sigma_z","intercept","A","x1","x2","x3","x4","r2","sigma_x"
200,0.2,87.265358238047,"23.45 (129.66)","51.40 (12.63)","43.79 (10.69)","-0.29 (15.53)","-15.27 (146.58)","0.35 (0.15)",0.2,88.38
200,0.4,49.0279906733192,"28.15 (75.78)","50.32 (7.39)","43.52 (6.24)","-0.01 (9.07)","-15.70 (85.64)","0.34 (0.09)",0.4,51.68
200,0.6,30.008771668175,"28.42 (49.94)","50.22 (4.87)","43.33 (4.13)","-0.12 (5.98)","-19.62 (56.30)","0.34 (0.06)",0.6,34.07
200,0.8,12.723571281659,"25.37 (30.49)","50.07 (2.96)","43.34 (2.53)","0.15 (3.65)","-13.42 (34.47)","0.34 (0.03)",0.8,20.76
500,0.2,82.2909199108999,"26.12 (76.61)","50.13 (7.51)","42.89 (6.28)","0.13 (9.18)","-15.21 (85.50)","0.34 (0.09)",0.2,83.62
500,0.4,47.8578236664634,"26.80 (46.40)","50.11 (4.55)","42.77 (3.79)","0.08 (5.56)","-16.62 (51.70)","0.34 (0.05)",0.4,50.62
500,0.6,29.1674322845581,"26.52 (30.73)","50.08 (3.02)","42.78 (2.52)","0.05 (3.68)","-14.25 (34.31)","0.34 (0.04)",0.6,33.58
500,0.8,11.995593976497,"27.25 (18.75)","49.95 (1.84)","42.77 (1.54)","0.08 (2.25)","-15.75 (20.99)","0.34 (0.02)",0.8,20.5
1000,0.2,81.2560617244581,"29.23 (53.45)","50.13 (5.25)","42.94 (4.37)","-0.28 (6.40)","-17.72 (59.41)","0.35 (0.06)",0.2,82.84
1000,0.4,47.6772522158372,"26.62 (32.53)","50.42 (3.20)","42.81 (2.65)","0.15 (3.90)","-16.85 (36.03)","0.34 (0.04)",0.4,50.45
1000,0.6,29.0587736588985,"27.73 (21.59)","50.08 (2.12)","42.83 (1.77)","0.06 (2.59)","-18.20 (23.90)","0.34 (0.02)",0.6,33.44
1000,0.8,11.8770717188204,"28.29 (13.16)","50.05 (1.30)","42.77 (1.08)","-0.03 (1.58)","-17.77 (14.62)","0.34 (0.02)",0.8,20.45
2000,0.2,80.3346816814468,"27.32 (37.35)","50.09 (3.67)","42.54 (3.05)","0.06 (4.48)","-19.38 (41.36)","0.34 (0.04)",0.2,82.04
2000,0.4,47.2971889375013,"26.69 (22.81)","50.12 (2.24)","42.72 (1.86)","0.15 (2.73)","-17.18 (25.28)","0.34 (0.03)",0.4,50.12
2000,0.6,28.9729226647621,"26.30 (15.22)","50.01 (1.50)","42.82 (1.24)","0.17 (1.82)","-17.69 (16.84)","0.34 (0.02)",0.6,33.41
2000,0.8,11.8140479563888,"27.31 (9.29)","50.02 (0.91)","42.67 (0.76)","0.13 (1.11)","-17.66 (10.30)","0.34 (0.01)",0.8,20.41
10000,0.2,79.9620246715776,"27.17 (16.60)","50.00 (1.63)","42.64 (1.35)","0.10 (1.99)","-17.06 (18.37)","0.34 (0.02)",0.2,81.65
10000,0.4,47.0989340742241,"27.33 (10.16)","50.02 (1.00)","42.61 (0.83)","0.07 (1.22)","-17.04 (11.25)","0.34 (0.01)",0.4,49.96
10000,0.6,28.8267951585152,"27.43 (6.77)","50.02 (0.67)","42.59 (0.55)","0.10 (0.81)","-17.41 (7.49)","0.34 (0.01)",0.6,33.3
10000,0.8,11.7369867540522,"27.40 (4.14)","50.01 (0.41)","42.61 (0.34)","0.10 (0.50)","-17.30 (4.59)","0.34 (0.00)",0.8,20.39
