"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias"
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","two_stage","m1",54.2153752350683,4.21537523506829,512,NA,NA,NA,NA,NA,NA,NA,-7.54012976457202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33258295059204,4.61020421981812,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","two_stage","m1",52.5269496592875,2.52694965928747,512,NA,NA,NA,NA,NA,NA,NA,-6.87540639298907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00359082221984863,0.0075840950012207,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","two_stage","m1",53.820160699572,3.82016069957199,512,NA,NA,NA,NA,NA,NA,NA,-7.05164053024841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00410890579223633,0.00820183753967285,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","two_stage","m1",53.5683686966448,3.56836869664476,512,NA,NA,NA,NA,NA,NA,NA,-6.86422524549046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00399398803710938,0.0277488231658936,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","two_stage","m1",53.894709904446,3.894709904446,512,NA,NA,NA,NA,NA,NA,NA,-7.85150892192539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180845975875854,0.379250049591064,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","two_stage","m1",54.2153752350683,4.21537523506829,512,NA,NA,NA,NA,NA,NA,NA,-7.54012976457202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38402080535889,4.70008897781372,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","two_stage","m1",52.5269496592875,2.52694965928747,512,NA,NA,NA,NA,NA,NA,NA,-6.87540639298907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00400686264038086,0.00813102722167969,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","two_stage","m1",53.820160699572,3.82016069957199,512,NA,NA,NA,NA,NA,NA,NA,-7.05164053024841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00552797317504883,0.0095360279083252,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","two_stage","m1",53.5683686966448,3.56836869664476,512,NA,NA,NA,NA,NA,NA,NA,-6.86422524549046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00481295585632324,0.0253770351409912,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","two_stage","m1",53.894709904446,3.894709904446,512,NA,NA,NA,NA,NA,NA,NA,-7.85150892192539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177737951278687,0.416709899902344,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","two_stage","m1",54.7348517067036,4.73485170670362,512,NA,NA,NA,NA,NA,NA,NA,-6.72571541185461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11501097679138,6.30173707008362,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","two_stage","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,-10.815757256963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000432968139648438,0.00132393836975098,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","two_stage","m1",53.1537979240791,3.15379792407912,512,NA,NA,NA,NA,NA,NA,NA,-1.76023107097444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439986944198608,0.917383909225464,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","super","two_stage","m1",54.7348517067036,4.73485170670362,512,NA,NA,NA,NA,NA,NA,NA,-6.72571541185461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0304160118103,6.19017696380615,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","unadj","two_stage","m1",53.8722625559338,3.87226255593379,512,NA,NA,NA,NA,NA,NA,NA,-10.815757256963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000473976135253906,0.000718832015991211,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","xgboost","two_stage","m1",53.1537979240791,3.15379792407912,512,NA,NA,NA,NA,NA,NA,NA,-1.76023107097444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432968139648438,1.05857014656067,NA
